Age,Gender,Profession,Marital_status,Education,No_of_Dependents,Personal_loan,House_loan,Partner_working,Salary,Partner_salary,Total_salary,Price,Make
51,Female,Salaried,Married,Post Graduate,2,No,No,Yes,90600,80400,171000,69000,SUV
54,Male,Business,Married,Post Graduate,2,No,No,Yes,93900,60200,154100,57000,SUV
54,Male,Salaried,Married,Post Graduate,3,No,No,Yes,82200,60900,143100,54000,SUV
54,Male,Salaried,Married,Graduate,3,Yes,No,Yes,80600,,81000,51000,SUV
54,Female,Salaried,Married,Post Graduate,3,Yes,No,No,85100,0,85100,54000,SUV
54,Male,Salaried,Married,Post Graduate,3,No,No,No,82300,0,82300,64000,SUV
54,Female,Salaried,Married,Post Graduate,3,No,No,No,82200,0,82200,58000,SUV
54,Female,Business,Married,Post Graduate,3,No,No,No,81600,0,81600,59000,SUV
54,Female,Business,Married,Post Graduate,2,Yes,No,No,79200,0,79200,53000,SUV
53,Female,Business,Married,Post Graduate,3,No,No,Yes,82300,60100,142400,55000,SUV
53,Female,Business,Married,Graduate,2,No,No,Yes,70600,70200,140800,62000,SUV
53,,Salaried,Married,Graduate,4,Yes,No,Yes,80900,30000,110900,49000,SUV
53,Male,Business,Married,Graduate,2,Yes,No,Yes,79300,40300,119600,55000,SUV
53,Female,Salaried,Married,Graduate,3,Yes,No,Yes,72000,40800,112800,66000,SUV
53,Male,Salaried,Married,Post Graduate,3,No,No,No,88200,0,88200,56000,SUV
53,Male,Business,Married,Post Graduate,3,No,No,No,82300,0,82300,61000,SUV
53,Male,Salaried,Married,Post Graduate,3,Yes,No,No,81000,0,81000,58000,SUV
53,Female,Business,Married,Graduate,3,No,No,No,78400,0,78400,60000,SUV
53,Female,Business,Married,Graduate,2,No,No,No,75400,0,75400,62000,SUV
52,Female,Salaried,Married,Post Graduate,4,No,No,Yes,93900,70800,164700,68000,SUV
52,Male,Salaried,Married,Graduate,2,No,No,Yes,91000,70800,161800,60000,SUV
52,Male,Salaried,Married,Post Graduate,2,No,No,Yes,89700,900,90600,51000,SUV
52,Female,Business,Married,Post Graduate,3,Yes,No,Yes,78800,60700,139500,55000,SUV
52,Male,Business,Married,Post Graduate,2,Yes,No,Yes,89800,40500,130300,53000,SUV
52,Male,Business,Single,Post Graduate,2,No,No,No,89900,0,89900,62000,SUV
52,Male,Salaried,Married,Post Graduate,4,No,No,No,88700,0,88700,64000,SUV
52,Female,Salaried,Married,Post Graduate,2,No,No,No,88900,0,88900,54000,SUV
52,Female,Salaried,Married,Post Graduate,3,No,No,No,83300,0,83300,52000,SUV
52,Female,Salaried,Married,Post Graduate,3,No,No,No,79000,0,79000,57000,SUV
52,Female,Salaried,Married,Post Graduate,2,No,No,No,77500,0,77500,58000,SUV
52,Male,Salaried,Married,Graduate,3,No,No,No,76800,0,76800,53000,SUV
51,Male,Salaried,Married,Post Graduate,3,No,No,Yes,92600,60900,153500,55000,SUV
51,Male,Salaried,Married,Graduate,3,No,No,Yes,71700,60200,131900,55000,SUV
51,Male,Salaried,Married,Post Graduate,2,No,No,Yes,89500,40200,129700,60000,SUV
51,Female,Business,Married,Graduate,3,No,No,Yes,76800,45000,121800,51000,SUV
51,Male,Salaried,Married,Graduate,3,Yes,No,Yes,77000,40600,117600,57000,SUV
51,Male,Salaried,Married,Post Graduate,4,No,No,No,86000,0,86000,67000,SUV
51,Male,Salaried,Single,Post Graduate,0,Yes,No,No,86900,0,86900,51000,SUV
51,Female,Business,Married,Post Graduate,3,Yes,No,No,85900,0,85900,51000,SUV
51,Male,Business,Married,Post Graduate,2,No,No,No,79900,0,79900,63000,SUV
51,Male,Salaried,Married,Post Graduate,3,No,No,No,78400,0,78400,66000,SUV
51,Male,Salaried,Married,Graduate,4,No,No,No,74800,0,74800,64000,SUV
50,Female,Salaried,Married,Post Graduate,4,Yes,No,Yes,99300,70000,169300,66000,SUV
50,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,98600,60500,159100,56000,SUV
50,Male,Salaried,Married,Graduate,3,No,No,Yes,76100,50700,126800,53000,SUV
50,Male,Business,Married,Post Graduate,2,Yes,No,No,82700,0,82700,61000,SUV
50,Male,Salaried,Married,Graduate,4,No,No,No,72000,0,72000,70000,SUV
49,Male,Business,Married,Graduate,4,No,No,Yes,92300,70000,162300,67000,SUV
49,Female,Salaried,Married,Post Graduate,3,No,No,Yes,80600,40600,121200,69000,SUV
49,Female,Business,Married,Post Graduate,3,No,No,No,87500,0,87500,53000,SUV
49,Male,Salaried,Married,Post Graduate,4,No,No,No,80100,0,80100,64000,SUV
49,Female,Salaried,Married,Post Graduate,3,No,No,No,78700,0,78700,68000,SUV
49,Female,Business,Married,Post Graduate,4,No,No,No,78100,0,78100,65000,SUV
49,Male,Salaried,Married,Post Graduate,3,No,No,No,78200,0,78200,58000,SUV
49,Male,Salaried,Single,Graduate,2,Yes,No,No,77600,0,77600,67000,SUV
48,Female,Business,Married,Graduate,3,No,No,Yes,90300,,161100,62000,SUV
48,Female,Salaried,Married,Graduate,2,No,No,Yes,77900,60300,138200,53000,SUV
48,Male,Salaried,Married,Post Graduate,2,Yes,No,No,82300,0,82300,59000,SUV
48,Male,Salaried,Married,Post Graduate,2,No,No,No,81600,0,81600,65000,SUV
48,Female,Salaried,Married,Post Graduate,3,No,No,No,78000,,78000,59000,SUV
47,Male,Business,Married,Graduate,4,Yes,No,Yes,86000,80500,166500,69000,SUV
47,Male,Salaried,Married,Graduate,2,No,No,Yes,86100,70800,156900,58000,SUV
47,Female,Salaried,Married,Graduate,3,No,No,Yes,79000,50400,129400,52000,SUV
47,Male,Business,Married,Post Graduate,2,No,No,Yes,86600,40400,127000,68000,SUV
47,Female,Salaried,Married,Graduate,1,Yes,No,Yes,77800,40300,118100,69000,SUV
47,Male,Business,Married,Post Graduate,4,Yes,No,Yes,89500,27700,117200,62000,SUV
47,Female,Business,Married,Graduate,3,Yes,No,Yes,76300,40600,116900,61000,SUV
47,Female,Salaried,Married,Graduate,3,No,No,Yes,76200,35800,112000,63000,SUV
47,Female,Salaried,Married,Post Graduate,3,No,No,Yes,78000,26600,104600,57000,SUV
47,,Salaried,Single,Post Graduate,2,Yes,No,No,87200,0,87200,49000,SUV
47,Female,Salaried,Married,Post Graduate,3,No,No,No,81200,0,81200,58000,SUV
47,Female,Business,Married,Post Graduate,3,Yes,No,No,80600,0,80600,69000,SUV
47,Female,Business,Single,Graduate,0,Yes,No,No,73300,0,73300,50000,SUV
47,Male,Salaried,Married,Graduate,3,No,No,No,71700,0,71700,51000,SUV
46,Female,Salaried,Married,Post Graduate,3,No,No,Yes,98900,60000,158900,56000,SUV
46,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,97700,60000,157700,58000,SUV
46,Male,Salaried,Married,Post Graduate,2,No,No,Yes,82200,40900,123100,66000,SUV
46,Female,Salaried,Married,Graduate,3,No,No,Yes,72600,900,73500,51000,SUV
46,Female,Business,Married,Graduate,3,No,No,Yes,74200,27900,102100,52000,SUV
46,Female,Salaried,Married,Post Graduate,3,Yes,No,No,90700,0,90700,50000,SUV
46,Female,Salaried,Married,Post Graduate,3,No,No,No,84000,0,84000,58000,SUV
46,Female,Business,Married,Post Graduate,3,No,No,No,84800,0,84800,57000,SUV
46,Female,Salaried,Single,Post Graduate,0,Yes,No,No,80200,0,80200,49000,SUV
46,Male,Salaried,Married,Post Graduate,2,Yes,No,No,79200,0,79200,50000,SUV
46,Female,Salaried,Married,Graduate,4,No,No,No,70400,0,70400,49000,SUV
45,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,71000,60800,131800,57000,SUV
45,Female,Salaried,Married,Post Graduate,1,Yes,No,Yes,84300,40000,124300,43000,Sedan
45,Female,Salaried,Married,Graduate,4,Yes,No,Yes,53800,70100,123900,64000,SUV
45,Male,Salaried,Married,Post Graduate,2,No,Yes,Yes,85200,38100,123300,53000,Sedan
45,Female,Salaried,Married,Post Graduate,2,No,Yes,Yes,85600,38200,123800,47000,Sedan
45,Female,Salaried,Married,Post Graduate,1,Yes,No,Yes,80400,40400,120800,37000,SUV
45,Female,Salaried,Married,Post Graduate,2,No,Yes,Yes,79700,40300,120000,52000,Sedan
45,Male,Business,Married,Post Graduate,2,Yes,No,Yes,77100,40900,118000,35000,Sedan
45,Male,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,76000,40200,116200,42000,Sedan
45,Female,Business,Married,Post Graduate,2,Yes,No,Yes,82300,30200,112500,33000,Sedan
45,Male,Salaried,Married,Post Graduate,4,No,No,Yes,71700,40600,112300,61000,SUV
45,Male,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,71800,38500,110300,43000,Sedan
45,Female,Salaried,Married,Graduate,2,No,Yes,Yes,64400,40400,104800,37000,SUV
45,Female,Salaried,Married,Post Graduate,2,No,No,Yes,73000,30000,103000,34000,Sedan
45,Male,Salaried,Married,Graduate,3,No,No,Yes,49600,50900,100500,52000,SUV
45,Female,Salaried,Married,Graduate,1,Yes,No,Yes,61300,35100,96400,40000,SUV
45,Female,Business,Married,Graduate,3,No,No,Yes,50500,40900,91400,62000,SUV
45,Female,Salaried,Married,Post Graduate,2,No,No,No,78100,0,78100,52000,SUV
45,Male,Salaried,Married,Post Graduate,1,Yes,No,No,78600,0,78600,50000,Sedan
45,Female,Salaried,Single,Post Graduate,1,No,No,No,77000,0,77000,40000,Sedan
45,Female,Salaried,Married,Post Graduate,1,No,Yes,No,73100,0,73100,36000,SUV
45,Female,Salaried,Married,Graduate,3,Yes,No,No,72500,0,72500,51000,SUV
45,Male,Salaried,Married,Post Graduate,1,Yes,Yes,No,71300,,71300,42000,Sedan
45,Male,Business,Married,Graduate,1,Yes,No,No,56700,,56700,54000,Sedan
45,Male,Salaried,Married,Graduate,2,No,No,No,55100,,55100,65000,SUV
45,Male,Business,Married,Graduate,4,No,No,No,55500,0,55500,61000,SUV
45,Female,Salaried,Single,Graduate,2,Yes,No,No,55700,0,55700,36000,Sedan
45,Female,Salaried,Married,Graduate,2,No,No,No,54000,0,54000,54000,Sedan
44,Female,Salaried,Married,Graduate,3,Yes,No,Yes,55900,70300,126200,59000,SUV
44,Male,Salaried,Married,Post Graduate,1,Yes,No,Yes,85300,38700,124000,41000,Sedan
44,Female,Business,Married,Post Graduate,2,Yes,Yes,Yes,81500,40600,122100,37000,Sedan
44,Female,Business,Married,Graduate,4,No,No,Yes,48600,70800,119400,67000,SUV
44,Male,Business,Married,Post Graduate,2,No,No,Yes,80000,38300,118300,41000,Sedan
44,Male,Business,Married,Post Graduate,1,Yes,Yes,Yes,79700,38900,118600,41000,Sedan
44,Male,Salaried,Married,Graduate,3,No,No,Yes,46900,70600,117500,59000,SUV
44,Female,Salaried,Married,Post Graduate,2,No,No,Yes,76000,40200,116200,50000,Sedan
44,Female,Business,Married,Post Graduate,1,Yes,Yes,Yes,76500,38100,114600,48000,Sedan
44,Male,Business,Married,Post Graduate,1,Yes,No,Yes,73600,40100,113700,44000,Sedan
44,Male,Business,Married,Post Graduate,1,Yes,No,Yes,74600,38700,113300,44000,Sedan
44,Female,Business,Married,Post Graduate,2,Yes,Yes,Yes,71600,38900,110500,43000,Sedan
44,Male,Business,Married,Post Graduate,2,Yes,No,Yes,79400,23200,102600,50000,Sedan
44,Male,Business,Married,Graduate,2,No,No,Yes,57300,38200,95500,49000,Sedan
44,Female,Salaried,Married,Graduate,2,No,Yes,Yes,56500,38700,95200,41000,SUV
44,Female,Business,Married,Graduate,2,Yes,No,Yes,54200,40300,94500,35000,Sedan
44,Female,Business,Married,Post Graduate,2,Yes,Yes,No,85900,0,85900,49000,SUV
44,Female,Salaried,Married,Graduate,1,Yes,No,Yes,60200,24700,84900,41000,Sedan
44,Female,Business,Single,Post Graduate,2,No,No,No,84000,0,84000,31000,Sedan
44,Male,Salaried,Married,Post Graduate,1,Yes,No,No,83300,0,83300,54000,Sedan
44,Female,Salaried,Married,Post Graduate,1,No,No,No,83800,0,83800,53000,Sedan
44,Male,Business,Single,Post Graduate,2,No,No,No,82500,0,82500,44000,Sedan
44,Female,Salaried,Married,Graduate,1,Yes,No,Yes,50500,30800,81300,32000,Sedan
44,Male,Business,Married,Post Graduate,1,Yes,No,No,79300,0,79300,33000,Sedan
44,Male,Salaried,Married,Graduate,3,No,No,Yes,50300,28100,78400,60000,SUV
44,Male,Salaried,Married,Post Graduate,1,Yes,No,No,77200,0,77200,39000,Sedan
44,Female,Salaried,Married,Post Graduate,1,Yes,No,No,76700,0,76700,51000,SUV
44,Male,Salaried,Single,Post Graduate,2,Yes,No,No,76300,0,76300,31000,Sedan
44,Female,Business,Single,Post Graduate,1,Yes,No,No,73200,0,73200,52000,Sedan
44,Male,Business,Single,Post Graduate,2,No,Yes,No,73400,0,73400,33000,Sedan
44,Male,Salaried,Married,Post Graduate,3,No,No,No,72600,0,72600,53000,SUV
44,Male,Salaried,Married,Post Graduate,1,No,Yes,No,72800,0,72800,42000,Sedan
44,Male,Salaried,Single,Post Graduate,2,No,No,No,70100,0,70100,68000,SUV
44,Male,Salaried,Married,Post Graduate,2,Yes,No,No,69600,0,69600,57000,SUV
44,,Salaried,Single,Post Graduate,0,Yes,No,No,68600,0,68600,50000,SUV
44,Female,Business,Married,Graduate,1,Yes,No,No,65400,0,65400,45000,SUV
44,Male,Salaried,Married,Graduate,2,No,Yes,No,57100,,57100,51000,Sedan
44,Female,Salaried,Married,Graduate,1,Yes,No,No,54600,0,54600,49000,SUV
44,Female,Salaried,Married,Graduate,2,No,No,No,50400,0,50400,65000,SUV
44,Female,Business,Single,Graduate,2,No,No,No,49200,0,49200,54000,SUV
43,Female,Salaried,Married,Graduate,4,Yes,No,Yes,53400,,123900,64000,SUV
43,Female,Business,Married,Post Graduate,1,Yes,No,Yes,84900,38300,123200,45000,SUV
43,Female,Business,Married,Post Graduate,1,Yes,No,Yes,81500,40700,122200,35000,Sedan
43,Male,Salaried,Married,Post Graduate,1,No,Yes,Yes,77800,40800,118600,39000,Sedan
43,Male,Salaried,Married,Post Graduate,2,No,No,Yes,77700,38400,116100,42000,Sedan
43,Male,Business,Married,Post Graduate,1,Yes,Yes,Yes,76100,38000,114100,52000,Sedan
43,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,75200,38300,113500,46000,Sedan
43,Female,Salaried,Married,Graduate,2,No,No,Yes,52100,60000,112100,58000,SUV
43,Male,Salaried,Married,Post Graduate,1,Yes,No,Yes,84000,23100,107100,50000,Sedan
43,Male,Salaried,Married,Post Graduate,2,No,No,Yes,75300,30100,105400,31000,Sedan
43,Male,Business,Married,Graduate,2,No,No,Yes,62700,40800,103500,39000,Sedan
43,Male,Business,Married,Graduate,1,Yes,No,Yes,59000,38000,97000,46000,Sedan
43,Male,Salaried,Married,Graduate,1,Yes,Yes,Yes,58100,38400,96500,51000,Sedan
43,Male,Business,Married,Graduate,1,No,No,Yes,57400,38200,95600,54000,Sedan
43,Male,Salaried,Married,Graduate,4,No,No,Yes,51600,40500,92100,69000,SUV
43,Male,Salaried,Married,Graduate,2,No,No,Yes,52700,38500,91200,53000,Sedan
43,Male,Business,Married,Graduate,2,No,Yes,Yes,56900,30200,87100,32000,Sedan
43,Male,Business,Married,Post Graduate,2,Yes,Yes,No,82600,0,82600,32000,Sedan
43,Male,Salaried,Married,Post Graduate,1,Yes,Yes,No,78100,0,78100,55000,Sedan
43,Female,Salaried,Married,Post Graduate,1,No,Yes,No,78000,0,78000,32000,Sedan
43,Female,Salaried,Married,Graduate,2,Yes,No,Yes,52900,25700,78600,39000,SUV
43,Male,Business,Single,Post Graduate,1,Yes,No,No,75300,0,75300,47000,Sedan
43,Female,Salaried,Married,Post Graduate,1,No,No,No,75300,0,75300,47000,Sedan
43,Female,Salaried,Married,Post Graduate,3,No,No,No,72900,0,72900,57000,SUV
43,Female,Business,Single,Post Graduate,2,Yes,No,No,72600,0,72600,46000,Sedan
43,Female,Business,Married,Graduate,2,No,No,No,71100,0,71100,62000,SUV
43,Male,Salaried,Single,Post Graduate,2,Yes,No,No,71800,0,71800,47000,Sedan
43,Female,Business,Married,Graduate,1,Yes,Yes,No,62300,0,62300,32000,Sedan
43,Female,Salaried,Married,Graduate,1,Yes,No,No,61600,0,61600,42000,Sedan
43,Male,Salaried,Married,Graduate,4,Yes,No,No,54500,,54500,69000,SUV
43,Male,Salaried,Married,Graduate,1,Yes,No,No,54900,0,54900,35000,Sedan
43,Male,Salaried,Married,Graduate,1,Yes,No,No,53600,0,53600,48000,Sedan
43,Male,Salaried,Single,Graduate,2,Yes,No,No,53300,,53300,33000,Sedan
43,Male,Business,Married,Graduate,2,Yes,No,No,51600,0,51600,34000,Sedan
42,Male,Salaried,Married,Post Graduate,1,Yes,Yes,Yes,85400,40100,125500,43000,Sedan
42,Male,Salaried,Married,Post Graduate,3,No,No,Yes,74500,50700,125200,50000,SUV
42,Male,Salaried,Married,Post Graduate,2,No,Yes,Yes,83800,38300,122100,50000,Sedan
42,Female,Salaried,Married,Graduate,4,No,No,Yes,50100,70400,120500,65000,SUV
42,Female,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,80200,40800,121000,39000,SUV
42,Male,Salaried,Married,Post Graduate,2,No,No,Yes,78500,40700,119200,37000,Sedan
42,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,75500,200,75700,33000,Sedan
42,Female,Business,Married,Post Graduate,2,No,No,Yes,74700,40800,115500,38000,Sedan
42,Female,Salaried,Married,Post Graduate,2,No,No,Yes,73800,38300,112100,53000,Sedan
42,Female,Salaried,Married,Post Graduate,1,Yes,No,Yes,82700,27700,110400,43000,Sedan
42,Female,Business,Married,Post Graduate,2,No,Yes,Yes,78500,30900,109400,32000,SUV
42,Female,Business,Married,Post Graduate,2,No,No,Yes,80900,26100,107000,32000,SUV
42,Female,Salaried,Married,Graduate,1,No,Yes,Yes,59900,45700,105600,39000,Sedan
42,Male,Business,Married,Graduate,2,Yes,Yes,Yes,56200,38700,94900,49000,Sedan
42,Female,Salaried,Married,Graduate,2,Yes,No,Yes,56800,38100,94900,45000,SUV
42,Female,Business,Married,Graduate,2,No,No,Yes,54300,400,54700,31000,SUV
42,Female,Salaried,Married,Post Graduate,2,No,No,No,83700,0,83700,36000,SUV
42,Male,Business,Married,Graduate,2,Yes,No,Yes,51000,28200,79200,38000,Sedan
42,Male,Business,Single,Post Graduate,1,Yes,No,No,77700,0,77700,49000,Sedan
42,Male,Business,Married,Post Graduate,1,No,No,No,76300,0,76300,36000,Sedan
42,Male,Salaried,Single,Post Graduate,2,Yes,No,No,76400,0,76400,36000,Sedan
42,Female,Business,Single,Post Graduate,2,Yes,No,No,73500,0,73500,35000,Sedan
42,Female,Business,Single,Post Graduate,1,No,No,No,73700,0,73700,33000,Sedan
42,Female,Salaried,Married,Post Graduate,2,No,No,No,68800,0,68800,61000,SUV
42,Male,Salaried,Married,Post Graduate,3,No,No,No,68900,0,68900,59000,SUV
42,Male,Salaried,Single,Graduate,2,No,Yes,No,63800,0,63800,41000,Sedan
42,Male,Salaried,Married,Graduate,2,Yes,Yes,No,61800,0,61800,46000,Sedan
42,Female,Salaried,Married,Graduate,2,Yes,No,No,57100,,57100,45000,SUV
42,Female,Salaried,Married,Graduate,1,Yes,Yes,No,56200,0,56200,47000,Sedan
42,Female,Salaried,Single,Graduate,2,No,No,No,53700,0,53700,63000,SUV
42,Male,Salaried,Married,Graduate,1,Yes,Yes,No,53000,0,53000,45000,Sedan
42,Male,Salaried,Married,Graduate,3,No,No,No,52300,0,52300,57000,SUV
42,Female,Salaried,Married,Graduate,1,No,No,No,52500,,52500,49000,SUV
42,Male,Business,Married,Graduate,3,Yes,No,No,51800,0,51800,59000,SUV
41,Male,Salaried,Married,Post Graduate,3,No,No,Yes,87000,70900,157900,61000,SUV
41,Male,Business,Married,Post Graduate,3,No,No,Yes,67200,70000,137200,61000,SUV
41,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,85500,38800,124300,52000,Sedan
41,Male,Business,Married,Post Graduate,1,No,Yes,Yes,75900,40100,116000,43000,Sedan
41,Female,Salaried,Married,Post Graduate,3,No,No,Yes,69100,45200,114300,67000,SUV
41,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,70200,38300,108500,54000,Sedan
41,Female,Business,Married,Post Graduate,1,Yes,Yes,Yes,82900,26800,109700,45000,Sedan
41,Female,Business,Married,Post Graduate,2,No,No,Yes,70500,,105800,33000,Sedan
41,Female,Business,Married,Graduate,2,No,No,Yes,60600,40300,100900,38000,Sedan
41,Female,Salaried,Married,Graduate,2,No,Yes,Yes,59300,38900,98200,52000,Sedan
41,Female,Salaried,Married,Graduate,2,Yes,No,Yes,47600,50900,98500,51000,SUV
41,Male,Business,Married,Graduate,1,Yes,No,Yes,63800,30900,94700,54000,Sedan
41,Female,Salaried,Married,Graduate,1,No,No,Yes,59200,26800,86000,38000,Sedan
41,Male,Salaried,Single,Post Graduate,1,No,No,No,81900,0,81900,32000,Sedan
41,Male,Business,Married,Post Graduate,4,No,No,No,74000,0,74000,64000,SUV
41,Female,Salaried,Married,Post Graduate,2,No,No,No,73400,,73400,45000,SUV
41,Female,Salaried,Married,Post Graduate,2,Yes,No,No,72500,0,72500,44000,Sedan
41,Female,Salaried,Single,Post Graduate,2,No,No,No,71800,0,71800,66000,SUV
41,Female,Salaried,Married,Post Graduate,1,No,Yes,No,71400,0,71400,36000,SUV
41,Male,Salaried,Married,Post Graduate,3,No,No,No,69400,0,69400,57000,SUV
41,Male,Business,Married,Graduate,1,Yes,No,No,64300,0,64300,44000,Sedan
41,Female,Salaried,Married,Graduate,1,Yes,Yes,No,62200,0,62200,42000,Sedan
41,Female,Business,Married,Graduate,1,Yes,Yes,No,58300,0,58300,52000,Sedan
41,Female,Salaried,Married,Graduate,1,Yes,Yes,No,58300,0,58300,39000,Sedan
41,Male,Salaried,Married,Graduate,2,Yes,Yes,No,57700,0,57700,53000,Sedan
41,,Salaried,Married,Graduate,1,Yes,No,No,55900,0,55900,32000,Sedan
41,Female,Salaried,Single,Graduate,1,No,No,No,54400,0,54400,49000,Sedan
40,Male,Salaried,Married,Post Graduate,4,No,No,Yes,71700,70700,142400,61000,SUV
40,Femle,Business,Married,Post Graduate,4,No,No,Yes,70000,70800,140800,65000,SUV
40,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,74200,60400,134600,57000,SUV
40,Male,Salaried,Married,Post Graduate,2,No,No,Yes,84500,40900,125400,32000,Sedan
40,Male,Business,Married,Post Graduate,2,No,Yes,Yes,82100,40800,122900,39000,Sedan
40,Male,Salaried,Married,Post Graduate,2,No,No,Yes,81300,38800,120100,43000,Sedan
40,Male,Salaried,Married,Post Graduate,2,Yes,No,Yes,81500,38700,120200,40000,Sedan
